"total_sleep_time","transportation_method","prior_knowl","teacher_performance","predicted"
0,"pub_transport",0,"1",1
0,"pub_transport",5,"1",1
0,"pub_transport",10,"1",1
0,"pub_transport",15,"1",1
0,"pub_transport",20,"1",1
0,"pub_transport",25,"1",1
0,"pub_transport",30,"1",1
0,"pub_transport",35,"1",1
0,"pub_transport",40,"1",1
0,"pub_transport",45,"1",1
0,"pub_transport",50,"1",1
0,"pub_transport",55,"1",1
0,"pub_transport",60,"1",1
0,"pub_transport",65,"1",1
0,"pub_transport",70,"1",1
0,"pub_transport",75,"1",1
0,"pub_transport",80,"1",1
0,"pub_transport",85,"1",1
0,"pub_transport",90,"1",1
0,"pub_transport",95,"1",1
0,"pub_transport",100,"1",1
1,"pub_transport",0,"1",1
1,"pub_transport",5,"1",1
1,"pub_transport",10,"1",1
1,"pub_transport",15,"1",1
1,"pub_transport",20,"1",1
1,"pub_transport",25,"1",1
1,"pub_transport",30,"1",1
1,"pub_transport",35,"1",1
1,"pub_transport",40,"1",1
1,"pub_transport",45,"1",1
1,"pub_transport",50,"1",1
1,"pub_transport",55,"1",1
1,"pub_transport",60,"1",1
1,"pub_transport",65,"1",1
1,"pub_transport",70,"1",1
1,"pub_transport",75,"1",1
1,"pub_transport",80,"1",1
1,"pub_transport",85,"1",1
1,"pub_transport",90,"1",1
1,"pub_transport",95,"1",1
1,"pub_transport",100,"1",1
2,"pub_transport",0,"1",1
2,"pub_transport",5,"1",1
2,"pub_transport",10,"1",1
2,"pub_transport",15,"1",1
2,"pub_transport",20,"1",1
2,"pub_transport",25,"1",1
2,"pub_transport",30,"1",1
2,"pub_transport",35,"1",1
2,"pub_transport",40,"1",1
2,"pub_transport",45,"1",1
2,"pub_transport",50,"1",1
2,"pub_transport",55,"1",1
2,"pub_transport",60,"1",1
2,"pub_transport",65,"1",1
2,"pub_transport",70,"1",1
2,"pub_transport",75,"1",1
2,"pub_transport",80,"1",1
2,"pub_transport",85,"1",1
2,"pub_transport",90,"1",1
2,"pub_transport",95,"1",1
2,"pub_transport",100,"1",1
3,"pub_transport",0,"1",1
3,"pub_transport",5,"1",1
3,"pub_transport",10,"1",1
3,"pub_transport",15,"1",1
3,"pub_transport",20,"1",1
3,"pub_transport",25,"1",1
3,"pub_transport",30,"1",1
3,"pub_transport",35,"1",1
3,"pub_transport",40,"1",1
3,"pub_transport",45,"1",1
3,"pub_transport",50,"1",1
3,"pub_transport",55,"1",1
3,"pub_transport",60,"1",1
3,"pub_transport",65,"1",1
3,"pub_transport",70,"1",1
3,"pub_transport",75,"1",1
3,"pub_transport",80,"1",1
3,"pub_transport",85,"1",1
3,"pub_transport",90,"1",1
3,"pub_transport",95,"1",1
3,"pub_transport",100,"1",1
4,"pub_transport",0,"1",1
4,"pub_transport",5,"1",1
4,"pub_transport",10,"1",1
4,"pub_transport",15,"1",1
4,"pub_transport",20,"1",1
4,"pub_transport",25,"1",1
4,"pub_transport",30,"1",1
4,"pub_transport",35,"1",1
4,"pub_transport",40,"1",1
4,"pub_transport",45,"1",1
4,"pub_transport",50,"1",1
4,"pub_transport",55,"1",1
4,"pub_transport",60,"1",1
4,"pub_transport",65,"1",1
4,"pub_transport",70,"1",1
4,"pub_transport",75,"1",1
4,"pub_transport",80,"1",1
4,"pub_transport",85,"1",1
4,"pub_transport",90,"1",1
4,"pub_transport",95,"1",1
4,"pub_transport",100,"1",1
5,"pub_transport",0,"1",1
5,"pub_transport",5,"1",1
5,"pub_transport",10,"1",1
5,"pub_transport",15,"1",1
5,"pub_transport",20,"1",1
5,"pub_transport",25,"1",1
5,"pub_transport",30,"1",1
5,"pub_transport",35,"1",1
5,"pub_transport",40,"1",1
5,"pub_transport",45,"1",1
5,"pub_transport",50,"1",1
5,"pub_transport",55,"1",1
5,"pub_transport",60,"1",1
5,"pub_transport",65,"1",1
5,"pub_transport",70,"1",1
5,"pub_transport",75,"1",1
5,"pub_transport",80,"1",1
5,"pub_transport",85,"1",1
5,"pub_transport",90,"1",1
5,"pub_transport",95,"1",1
5,"pub_transport",100,"1",1
6,"pub_transport",0,"1",1
6,"pub_transport",5,"1",1
6,"pub_transport",10,"1",1
6,"pub_transport",15,"1",1
6,"pub_transport",20,"1",1
6,"pub_transport",25,"1",1
6,"pub_transport",30,"1",1
6,"pub_transport",35,"1",1
6,"pub_transport",40,"1",1
6,"pub_transport",45,"1",1
6,"pub_transport",50,"1",1
6,"pub_transport",55,"1",1
6,"pub_transport",60,"1",1
6,"pub_transport",65,"1",1
6,"pub_transport",70,"1",1
6,"pub_transport",75,"1",1
6,"pub_transport",80,"1",1
6,"pub_transport",85,"1",1
6,"pub_transport",90,"1",1
6,"pub_transport",95,"1",1
6,"pub_transport",100,"1",1
7,"pub_transport",0,"1",1
7,"pub_transport",5,"1",1
7,"pub_transport",10,"1",1
7,"pub_transport",15,"1",1
7,"pub_transport",20,"1",1
7,"pub_transport",25,"1",1
7,"pub_transport",30,"1",1
7,"pub_transport",35,"1",1
7,"pub_transport",40,"1",1
7,"pub_transport",45,"1",1
7,"pub_transport",50,"1",1
7,"pub_transport",55,"1",1
7,"pub_transport",60,"1",1
7,"pub_transport",65,"1",1
7,"pub_transport",70,"1",1
7,"pub_transport",75,"1",1
7,"pub_transport",80,"1",1
7,"pub_transport",85,"1",1
7,"pub_transport",90,"1",1
7,"pub_transport",95,"1",1
7,"pub_transport",100,"1",1
8,"pub_transport",0,"1",2
8,"pub_transport",5,"1",2
8,"pub_transport",10,"1",2
8,"pub_transport",15,"1",2
8,"pub_transport",20,"1",2
8,"pub_transport",25,"1",2
8,"pub_transport",30,"1",1
8,"pub_transport",35,"1",1
8,"pub_transport",40,"1",1
8,"pub_transport",45,"1",1
8,"pub_transport",50,"1",1
8,"pub_transport",55,"1",1
8,"pub_transport",60,"1",1
8,"pub_transport",65,"1",1
8,"pub_transport",70,"1",1
8,"pub_transport",75,"1",1
8,"pub_transport",80,"1",1
8,"pub_transport",85,"1",1
8,"pub_transport",90,"1",1
8,"pub_transport",95,"1",1
8,"pub_transport",100,"1",1
9,"pub_transport",0,"1",2
9,"pub_transport",5,"1",2
9,"pub_transport",10,"1",2
9,"pub_transport",15,"1",2
9,"pub_transport",20,"1",2
9,"pub_transport",25,"1",2
9,"pub_transport",30,"1",2
9,"pub_transport",35,"1",2
9,"pub_transport",40,"1",2
9,"pub_transport",45,"1",2
9,"pub_transport",50,"1",2
9,"pub_transport",55,"1",2
9,"pub_transport",60,"1",2
9,"pub_transport",65,"1",2
9,"pub_transport",70,"1",1
9,"pub_transport",75,"1",1
9,"pub_transport",80,"1",1
9,"pub_transport",85,"1",1
9,"pub_transport",90,"1",1
9,"pub_transport",95,"1",1
9,"pub_transport",100,"1",1
10,"pub_transport",0,"1",2
10,"pub_transport",5,"1",2
10,"pub_transport",10,"1",2
10,"pub_transport",15,"1",2
10,"pub_transport",20,"1",2
10,"pub_transport",25,"1",2
10,"pub_transport",30,"1",2
10,"pub_transport",35,"1",2
